lat,lon,probability
19.5,82.0,0.8686
19.5,82.25,0.7321
19.5,82.5,0.7503
19.5,82.75,0.6713
19.5,83.0,0.974
19.5,83.25,0.5682
19.5,83.5,0.8653
19.5,83.75,0.8951
19.75,76.0,0.7969
19.75,76.25,0.503
19.75,76.5,0.4569
19.75,76.75,0.5803
19.75,77.0,0.6097
19.75,77.25,0.2229
19.75,77.5,0.6124
19.75,77.75,0.5666
19.75,78.0,0.2088
19.75,78.25,0.8052
19.75,78.5,0.859
19.75,78.75,0.663
19.75,79.0,0.7307
19.75,79.25,0.7398
19.75,79.5,0.6276
19.75,79.75,0.7481
19.75,80.0,0.823
19.75,80.25,0.9936
19.75,80.5,0.949
19.75,80.75,0.9539
19.75,81.0,0.731
19.75,81.25,0.9684
19.75,81.5,0.8233
19.75,81.75,0.976
19.75,82.0,0.6046
19.75,82.25,0.8976
19.75,82.5,1.0
19.75,82.75,0.9001
19.75,83.0,0.9003
19.75,83.25,0.9485
19.75,83.5,0.9551
19.75,83.75,0.9212
20.0,76.0,0.6841
20.0,76.25,0.7204
20.0,76.5,0.6136
20.0,76.75,0.485
20.0,77.0,0.7432
20.0,77.25,0.3817
20.0,77.5,0.8243
20.0,77.75,0.6806
20.0,78.0,0.7606
20.0,78.25,0.6251
20.0,78.5,0.642
20.0,78.75,0.6532
20.0,79.0,0.37
20.0,79.25,0.7011
20.0,79.5,0.7394
20.0,79.75,0.664
20.0,80.0,0.7479
20.0,80.25,0.9062
20.0,80.5,0.9306
20.0,80.75,0.9138
20.0,81.0,0.9041
20.0,81.25,0.9809
20.0,81.5,0.7089
20.0,81.75,0.7225
20.0,82.0,0.645
20.0,82.25,0.7787
20.0,82.5,0.7664
20.0,82.75,0.9738
20.0,83.0,0.9272
20.0,83.25,0.9137
20.0,83.5,0.9781
20.0,83.75,0.9341
20.25,76.0,0.5607
20.25,76.25,0.6868
20.25,76.5,0.6945
20.25,76.75,0.7309
20.25,77.0,0.4867
20.25,77.25,0.704
20.25,77.5,0.7818
20.25,77.75,0.7099
20.25,78.0,0.6273
20.25,78.25,0.8186
20.25,78.5,0.6347
20.25,78.75,0.6057
20.25,79.0,0.595
20.25,79.25,0.5874
20.25,79.5,0.9255
20.25,79.75,0.666
20.25,80.0,0.7685
20.25,80.25,0.8512
20.25,80.5,0.7907
20.25,80.75,0.985
20.25,81.0,0.9806
20.25,81.25,0.9479
20.25,81.5,0.914
20.25,81.75,0.8302
20.25,82.0,0.8142
20.25,82.25,0.926
20.25,82.5,0.8469
20.25,82.75,0.6794
20.25,83.0,0.7457
20.25,83.25,0.8293
20.25,83.5,0.7467
20.25,83.75,0.9964
20.5,76.0,0.4285
20.5,76.25,0.5694
20.5,76.5,0.6795
20.5,76.75,0.7585
20.5,77.0,0.7795
20.5,77.25,0.8189
20.5,77.5,0.5829
20.5,77.75,0.6037
20.5,78.0,0.5664
20.5,78.25,0.702
20.5,78.5,0.7438
20.5,78.75,0.646
20.5,79.0,0.6376
20.5,79.25,0.744
20.5,79.5,0.5318
20.5,79.75,0.6773
20.5,80.0,0.6977
20.5,80.25,0.7491
20.5,80.5,0.928
20.5,80.75,0.8975
20.5,81.0,0.7644
20.5,81.25,0.9274
20.5,81.5,0.8869
20.5,81.75,0.9071
20.5,82.0,0.7439
20.5,82.25,0.9514
20.5,82.5,0.6435
20.5,82.75,0.9022
20.5,83.0,0.8977
20.5,83.25,0.7393
20.5,83.5,0.8106
20.5,83.75,0.7352
20.75,76.0,0.6091
20.75,76.25,0.7112
20.75,76.5,0.7801
20.75,76.75,0.7664
20.75,77.0,0.7249
20.75,77.25,0.6823
20.75,77.5,0.7813
20.75,77.75,0.7253
20.75,78.0,0.8006
20.75,78.25,0.6961
20.75,78.5,0.7239
20.75,78.75,0.674
20.75,79.0,0.6824
20.75,79.25,0.8872
20.75,79.5,0.6133
20.75,79.75,0.7643
20.75,80.0,0.7698
20.75,80.25,0.9237
20.75,80.5,0.8918
20.75,80.75,0.9099
20.75,81.0,0.9805
20.75,81.25,0.8513
20.75,81.5,0.9454
20.75,81.75,0.8248
20.75,82.0,0.8159
20.75,82.25,0.9889
20.75,82.5,0.9866
20.75,82.75,0.9809
20.75,83.0,0.8881
20.75,83.25,0.8719
20.75,83.5,0.7003
20.75,83.75,0.7286
21.0,76.0,0.6661
21.0,76.25,0.5676
21.0,76.5,0.674
21.0,76.75,0.7279
21.0,77.0,0.738
21.0,77.25,0.7806
21.0,77.5,0.7669
21.0,77.75,0.7044
21.0,78.0,0.6861
21.0,78.25,0.6929
21.0,78.5,0.9552
21.0,78.75,0.957
21.0,79.0,0.5935
21.0,79.25,0.6228
21.0,79.5,0.6788
21.0,79.75,0.8042
21.0,80.0,0.8123
21.0,80.25,0.9205
21.0,80.5,0.8926
21.0,80.75,0.8842
21.0,81.0,0.8417
21.0,81.25,0.8644
21.0,81.5,0.9302
21.0,81.75,0.7582
21.0,82.0,0.8391
21.0,82.25,0.876
21.0,82.5,0.9732
21.0,82.75,0.954
21.0,83.0,0.8413
21.0,83.25,0.7724
21.0,83.5,0.681
21.0,83.75,0.5862
21.25,76.0,0.6348
21.25,76.25,0.6542
21.25,76.5,0.6143
21.25,76.75,0.9142
21.25,77.0,0.988
21.25,77.25,0.693
21.25,77.5,0.6737
21.25,77.75,0.596
21.25,78.0,0.6678
21.25,78.25,0.5979
21.25,78.5,0.8026
21.25,78.75,0.7244
21.25,79.0,0.7163
21.25,79.25,0.7724
21.25,79.5,0.8571
21.25,79.75,0.9056
21.25,80.0,0.9719
21.25,80.25,0.9391
21.25,80.5,0.9719
21.25,80.75,0.9752
21.25,81.0,0.8798
21.25,81.25,0.7375
21.25,81.5,0.7898
21.25,81.75,0.8299
21.25,82.0,0.8142
21.25,82.25,0.8216
21.25,82.5,0.8787
21.25,82.75,0.9243
21.25,83.0,0.7265
21.25,83.25,0.9404
21.25,83.5,0.8655
21.25,83.75,0.44
21.5,76.0,0.2829
21.5,76.25,0.6466
21.5,76.5,0.695
21.5,76.75,0.7906
21.5,77.0,0.63
21.5,77.25,0.9663
21.5,77.5,0.9343
21.5,77.75,0.7467
21.5,78.0,0.8853
21.5,78.25,0.68
21.5,78.5,0.6187
21.5,78.75,0.625
21.5,79.0,0.9602
21.5,79.25,0.9449
